PomBaseID	Gene_name	Product_description	UniprotID
SPAC1D4.12	rad15	transcription factor TFIIH complex DNA helicase (human ERCC2) subunit Rad15	P26659
SPAC17A5.06	ptr8	transcription factor TFIIH complex DNA helicase (human ERCC3) subunit Ptr8	O13768
SPBC13G1.13	tfb2	transcription factor TFIIH complex subunit Tfb2	P87303
SPAC144.09c	sfc2	transcription factor TFIIIA	Q9UTL5
SPCC1919.14c	bdp1	transcription factor TFIIIB complex subunit Bdp1	O94481
SPBC13E7.10c	brf1	transcription factor TFIIIB complex subunit Brf1	Q9P6R0
SPAC6F12.11c	sfc1	transcription factor TFIIIC complex A box associated subunit Sfc1	O14229
SPBC336.07	sfc3	transcription factor TFIIIC complex B box binding subunit Sfc3	Q9UST7
SPCC16C4.14c	sfc4	transcription factor TFIIIC complex subunit Sfc4	O74458
SPBC21H7.05	sfc6	transcription factor TFIIIC complex subunit Sfc6	O60174
SPAC1250.07	sfc7	transcription factor TFIIIC subunit Sfc7	A6X980
SPAC17G8.03c	bur6	transcription regulator complex subunit Bur6	Q10315
SPBC1198.04c	zas1	transcription regulator Zas1	Q9UTS5
SPAC30.03c	tsn1	translin	Q9P7V3
SPCC736.09c	tfx1	TRAX	O74955
SPBP8B7.23	rnf10	ubiquitin-protein ligase E3	O94271
SPCC1442.07c	wss2	ubiquitin/metalloprotease fusion protein Udp7	O94580
SPBC1861.02	abp2	"unknown protein, may bind replication origins Abp2"	Q9USY4
SPBC28F2.11	hmo1	"upstream binding transcription factor, RNA polymerase I specific, Hmo1"	Q9USU7
SPBC649.03	rhp14	XP-A family homolog Rhp14	O59753
SPCC24B10.14c	xlf1	"XRCC4-like nonhomologous end joining factor, Cernunnon Xlf1/Nej1"	Q9P7J2
SPAC13F5.07c	hpz2	zf PARP type zinc finger protein Hpz2	O13706
SPBC1718.07c	zfs1	"zf-CCCH tandem zinc finger protein, human Tristetraprolin homolog Zfs1, involved in mRNA catabolism"	P47979
SPBC2A9.07c	hpz1	"zf-PARP type zinc finger protein Hpz1, implicated in DNA repair"	Q9Y7K9
